Number_Of_Dependant,Years_At_Residence,Years_At_Business,Nb_Of_Products,DAY(BirthDate),DAY(Customer_Open_Date),DAY(Prod_Decision_Date),YEAR(BirthDate),YEAR(Customer_Open_Date),YEAR(Prod_Decision_Date),MONTH(BirthDate),MONTH(Customer_Open_Date),MONTH(Prod_Decision_Date),WEEKDAY(BirthDate),WEEKDAY(Customer_Open_Date),WEEKDAY(Prod_Decision_Date),Net_Annual_Income_transform,Customer_Type_Existing Client,Customer_Type_Non Existing Client,P_Client_NP_Client,P_Client_P_Client,Educational_Level_Diploma,Educational_Level_Master/PhD,Educational_Level_Secondary or Less,Educational_Level_University,Marital_Status_Divorced,Marital_Status_Married,Marital_Status_Separated,Marital_Status_Single,Marital_Status_Widowed,Prod_Sub_Category_C,Prod_Sub_Category_G,Prod_Sub_Category_P,Source_Branch,Source_Sales,Type_Of_Residence_Company,Type_Of_Residence_New rent,Type_Of_Residence_Old rent,Type_Of_Residence_Owned,Type_Of_Residence_Parents,Prod_Category_A,Prod_Category_B,Prod_Category_C,Prod_Category_D,Prod_Category_E,Prod_Category_F,Prod_Category_G,Prod_Category_H,Prod_Category_I,Prod_Category_J,Prod_Category_K,Prod_Category_L,Prod_Category_M,KMeans 2,KMeans 3,Agglomerative Clustering Cosine,Agglomerative Clustering Euclidean,DBSCAN eps=3,Y
0.0,5,12.0,1,26,13,23,1981,2004,2011,5,10,5,1,2,0,18.0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
2.0,2,3.0,1,17,11,8,1976,2005,2011,1,1,5,5,1,6,24.0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
1.0,2,6.0,1,15,7,8,1978,2005,2011,1,3,5,6,0,6,80.0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2.0,6,2.0,1,17,13,9,1980,2005,2011,4,4,5,3,2,0,108.0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0.0,4,2.0,1,1,5,8,1977,2005,2011,6,5,5,2,3,6,18.0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
2.0,20,6.0,1,26,6,10,1964,2005,2011,8,7,5,2,2,1,33696.0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0.0,14,1.0,1,5,25,17,1984,2005,2011,6,8,5,1,3,1,18.0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
2.0,3,5.0,1,2,12,18,1983,2005,2011,9,9,5,4,0,2,18.0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
3.0,15,5.0,1,1,6,19,1963,2005,2011,4,11,5,0,6,3,420.0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
4.0,15,1.0,1,10,11,15,1959,2005,2011,2,12,5,1,6,6,30.0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,2,0
2.0,3,6.0,1,4,20,24,1981,2006,2011,8,2,5,1,0,1,36.0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
0.0,20,6.0,1,20,23,23,1958,2006,2011,11,2,5,3,3,0,36.0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,2,0
0.0,10,1.0,1,12,3,26,1970,2006,2011,9,5,5,5,2,3,36.0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,2,0
1.0,1,9.0,1,15,30,18,1980,2006,2011,3,8,5,5,2,2,26652.0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0.0,15,15.0,1,17,20,11,1953,2006,2011,7,11,5,4,0,2,18.0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,2,0
0.0,20,1.0,1,22,23,18,1980,2006,2011,6,11,5,6,3,2,36.0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
2.0,15,1.0,1,10,27,9,1961,2006,2011,9,11,5,6,0,0,18.0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1.0,29,1.0,1,9,10,17,1981,2007,2011,4,1,5,3,2,1,18.0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
