Number_Of_Dependant,Years_At_Residence,Years_At_Business,Nb_Of_Products,DAY(BirthDate),DAY(Prod_Decision_Date),DAY(Customer_Open_Date),YEAR(BirthDate),YEAR(Prod_Decision_Date),YEAR(Customer_Open_Date),MONTH(BirthDate),MONTH(Prod_Decision_Date),MONTH(Customer_Open_Date),WEEKDAY(BirthDate),WEEKDAY(Prod_Decision_Date),WEEKDAY(Customer_Open_Date),Net_Annual_Income_transform,Y
3.0,1,1.0,1,8,14,13,1977,2012,2012,7,2,2,4,1,0,36.0,0
0.0,12,2.0,1,13,30,4,1974,2011,2009,6,6,2,3,3,2,18.0,0
2.0,10,1.0,1,11,4,3,1973,2012,2012,7,4,4,2,2,1,36.0,0
3.0,3,1.0,1,7,7,25,1982,2011,2011,8,9,8,5,2,3,36.0,1
2.0,1,1.0,1,18,11,10,1953,2012,2012,8,1,1,1,2,1,36.0,0
0.0,28,2.0,1,3,4,15,1983,2011,2011,4,10,9,6,1,3,60.0,0
0.0,10,1.0,1,25,28,17,1979,2011,2011,9,7,7,1,3,6,36.0,0
0.0,15,1.0,1,10,12,11,1953,2012,2012,4,4,4,4,3,2,36.0,0
0.0,0,3.0,1,3,2,20,1974,2012,2001,1,4,2,3,0,1,500.0,0
4.0,35,2.0,1,13,3,27,1963,2011,2011,2,5,4,2,1,2,876.0,1
0.0,10,3.0,1,27,9,12,1987,2012,2011,4,1,12,0,0,0,36.0,0
0.0,10,2.0,2,21,2,18,1959,2011,2011,9,10,9,0,6,6,18.0,0
0.0,2,4.0,1,26,12,30,1981,2012,2007,3,2,4,3,6,0,2982.0,0
0.0,15,1.0,1,18,5,4,1987,2012,2012,7,4,4,5,3,2,36.0,0
0.0,1,1.0,1,1,17,13,1974,2011,2011,1,11,11,1,3,6,36.0,0
0.0,10,1.0,1,6,20,15,1969,2011,2011,11,12,12,3,1,3,36.0,0
0.0,15,1.0,1,3,24,15,1974,2012,2012,2,1,1,6,1,6,30.0,0
0.0,10,1.0,1,23,10,25,1987,2011,2010,9,5,11,2,1,3,18.0,0
2.0,1,1.0,1,7,15,12,1982,2012,2012,1,1,1,3,6,3,36.0,1
3.0,8,2.0,1,21,15,12,1971,2011,2011,3,6,6,6,2,6,18.0,0
0.0,15,1.0,1,8,29,8,1949,2011,2011,1,12,12,5,3,3,30.0,0
0.0,12,1.0,1,30,9,20,1987,2011,2011,5,8,7,5,1,2,31848.0,0
0.0,27,6.0,1,1,11,27,1985,2012,2012,1,4,3,1,2,1,264.0,0
3.0,10,3.0,1,29,29,18,1973,2011,2007,11,10,4,3,5,2,24288.0,0
2.0,2,1.0,1,13,24,20,1961,2011,2011,2,7,7,0,6,2,36.0,0
0.0,1,1.0,1,2,23,22,1948,2012,2012,5,2,2,6,3,2,36.0,0
0.0,1,1.0,1,21,28,22,1972,2011,2011,8,6,6,0,1,2,20.0,0
0.0,4,4.0,1,27,28,24,1989,2011,2011,11,7,7,0,3,6,18.0,0
2.0,10,2.0,1,24,29,10,1965,2011,2010,11,6,1,2,2,6,18.0,0
0.0,22,2.0,1,26,15,14,1953,2012,2012,12,2,2,5,2,1,18.0,0
3.0,18,16.0,1,5,22,15,1965,2012,1983,6,2,11,5,2,1,300.0,0
2.0,16,1.0,1,7,22,21,1958,2011,2011,11,6,6,4,2,1,20.0,0
3.0,1,1.0,1,11,22,19,1976,2012,2012,2,4,4,2,6,3,36.0,0
0.0,5,1.0,1,18,18,15,1983,2011,2011,2,5,5,4,2,6,18.0,0
1.0,50,50.0,1,20,14,12,1963,2011,2011,3,12,12,2,2,0,36.0,0
1.0,27,2.0,1,11,25,16,1983,2011,2011,10,8,8,1,3,1,120.0,0
3.0,5,5.0,1,21,26,26,1970,2011,2009,2,7,3,5,1,3,18.0,0
0.0,1,1.0,1,10,15,22,1980,2011,2009,10,9,2,4,3,6,36.0,0
0.0,10,1.0,2,19,11,10,1967,2011,2011,12,7,7,1,0,6,36.0,0
1.0,20,20.0,1,15,3,5,1986,2012,2008,2,1,3,5,1,2,24.0,0
3.0,38,1.0,2,6,15,14,1948,2011,2011,2,9,9,4,3,2,20.0,0
0.0,6,10.0,1,9,15,14,1986,2011,2011,9,12,12,1,3,2,36.0,0
3.0,1,1.0,1,29,12,30,1965,2012,2007,5,3,7,5,0,0,36.0,0
0.0,10,1.0,1,18,27,25,1967,2011,2011,6,10,10,6,3,1,36.0,0
1.0,3,2.0,1,3,5,20,1985,2011,2008,1,12,11,3,0,3,27312.0,0
0.0,15,1.0,1,2,27,25,1972,2011,2011,5,9,9,1,1,6,100.0,0
3.0,10,20.0,2,11,8,20,1956,2012,2011,4,4,7,2,6,2,120.0,0
2.0,1,1.0,1,22,16,13,1975,2011,2011,6,10,9,6,6,1,42.0,1
0.0,15,1.0,1,26,26,9,1948,2011,2003,8,9,1,3,0,3,100.0,0
2.0,1,1.0,1,15,6,5,1965,2012,2012,6,3,3,1,1,0,36.0,0
0.0,15,1.0,1,23,9,31,1966,2011,2011,7,8,7,5,1,6,20.0,0
0.0,10,3.0,1,19,29,17,1983,2012,2007,10,2,7,2,2,1,36.0,0
3.0,12,1.0,1,21,22,27,1970,2011,2011,1,6,4,2,2,2,36.0,0
0.0,11,1.0,1,25,25,24,1956,2011,2011,6,10,10,0,1,0,36.0,0
3.0,10,3.0,1,8,26,24,1973,2011,2011,1,10,10,0,2,0,36.0,0
0.0,22,2.0,1,9,12,11,1949,2011,2011,3,10,10,2,2,1,18.0,0
2.0,1,1.0,1,25,6,1,1961,2011,2009,11,12,11,5,1,6,36.0,0
0.0,10,1.0,1,28,20,18,1978,2011,2011,5,7,7,6,2,0,36.0,0
0.0,5,1.0,2,18,28,27,1975,2011,2011,10,8,8,5,6,5,20.0,0
0.0,15,1.0,1,9,12,11,1987,2012,2012,1,1,1,4,3,2,30.0,0
0.0,1,1.0,1,6,15,9,1967,2011,2010,11,6,12,0,2,3,20.0,0
2.0,20,20.0,1,15,29,22,1981,2011,2011,4,6,6,2,2,2,18.0,0
0.0,15,1.0,1,10,19,18,1967,2012,2012,7,1,1,0,3,2,36.0,1
2.0,10,1.0,1,11,12,11,1975,2011,2011,3,12,12,1,0,6,36.0,0
0.0,25,8.0,1,20,2,14,1987,2012,2010,5,1,9,2,0,1,36.0,0
0.0,10,10.0,1,17,11,5,1972,2012,2012,2,3,3,3,6,0,36.0,0
0.0,1,4.0,1,23,20,4,1977,2011,2011,7,7,7,5,2,0,84.0,1
0.0,10,1.0,1,24,15,9,1972,2011,2006,4,8,10,0,0,0,36.0,0
0.0,30,15.0,1,3,25,20,1979,2011,2011,4,10,10,1,1,3,100.0,0
1.0,6,2.0,1,23,9,8,1985,2011,2011,12,8,8,0,1,0,18.0,0
1.0,2,2.0,1,26,8,6,1981,2011,2011,6,12,12,4,3,1,18.0,0
0.0,1,1.0,1,19,12,5,1988,2012,2012,7,3,3,1,0,0,36.0,0
2.0,15,1.0,1,14,27,26,1970,2012,2012,9,2,2,0,0,6,25.0,0
3.0,3,3.0,1,2,5,12,1974,2012,1997,11,1,3,5,3,2,400.0,0
0.0,15,1.0,1,1,12,12,1987,2012,2011,1,3,6,3,0,6,36.0,0
0.0,30,2.0,1,25,15,12,1971,2012,2012,4,1,1,6,6,3,18.0,0
0.0,10,1.0,1,25,26,24,1975,2011,2011,5,5,5,6,3,1,18.0,0
0.0,1,1.0,1,7,6,5,1974,2011,2011,1,6,6,0,0,6,36.0,0
2.0,10,3.0,1,12,27,14,1967,2011,2011,7,12,11,2,1,0,36.0,0
0.0,50,19.0,1,1,26,7,1957,2012,2011,5,2,6,2,6,1,18.0,0
0.0,10,1.0,1,15,4,3,1988,2011,2011,1,5,5,4,2,1,18.0,0
1.0,10,3.0,1,18,22,16,1981,2012,2012,7,2,2,5,2,3,36.0,0
