,Classifier,F1,Accuracy,Precision,Recall
0,AdaBoostClassifier,0.02531645569620253,0.9284386617100372,0.6666666666666666,0.012903225806451613
1,AdaBoostClassifier,0.0,0.9219330855018587,0.0,0.0
2,BaggingClassifier,0.8768115942028984,0.9842007434944238,1.0,0.7806451612903226
3,BaggingClassifier,0.0,0.921003717472119,0.0,0.0
4,ExtraTreesClassifier,1.0,1.0,1.0,1.0
5,ExtraTreesClassifier,0.0,0.9228624535315985,0.0,0.0
6,GradientBoostClassifier,0.13813813813813813,0.933317843866171,1.0,0.07419354838709677
7,GradientBoostClassifier,0.0,0.9219330855018587,0.0,0.0
8,RandomForestClassifier,1.0,1.0,1.0,1.0
9,RandomForestClassifier,0.0,0.9228624535315985,0.0,0.0
10,DecisionTreeClassifier,1.0,1.0,1.0,1.0
11,DecisionTreeClassifier,0.14432989690721648,0.845724907063197,0.12612612612612611,0.1686746987951807
12,RidgeClassifier,0.0,0.9279739776951673,0.0,0.0
13,RidgeClassifier,0.0,0.9228624535315985,0.0,0.0
14,LogisticRegression,0.0,0.9279739776951673,0.0,0.0
15,LogisticRegression,0.0,0.9228624535315985,0.0,0.0
16,LogisticRegressionCV,0.0,0.9279739776951673,0.0,0.0
17,LogisticRegressionCV,0.0,0.9228624535315985,0.0,0.0
18,SGDClassifier,0.0,0.9279739776951673,0.0,0.0
19,SGDClassifier,0.0,0.9228624535315985,0.0,0.0
20,KNeighborsClassifier,0.07784431137724551,0.9284386617100372,0.5416666666666666,0.041935483870967745
21,KNeighborsClassifier,0.0,0.9163568773234201,0.0,0.0
